mission,date,date_time,latitude,longitude,sample_type,sample_source,snow_thickness,code_operation,station,station_type,cast,bottle,bottom_depth_m,depth_m,filter_type,quality_flag,dilution_factor,no3_um_l,no2_um_l,no2_and_no3,po4_um_l,sioh4_um_l,n_ice_samples_ice_camp_2016,method,pi
ice_camp_2015,2015-04-14,2015-04-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-14,2015-04-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-14,2015-04-14T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,65,gff,NA,NA,5.093,NA,NA,0.834,8.459,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-16,2015-04-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.175,NA,NA,0.838,8.766,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-16,2015-04-16T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.622,NA,NA,0.893,14.512,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-18,2015-04-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-18,2015-04-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-18,2015-04-18T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.756,0.046,NA,0.798,10.165,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-20,2015-04-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.581,NA,NA,0.912,6.99,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-20,2015-04-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-20,2015-04-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,5.041,0.119,NA,0.84,9.992,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-20,2015-04-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.107,0.146,NA,0.842,13.498,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-20,2015-04-20T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.553,0.163,NA,0.869,11.142,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-22,2015-04-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.718,0.057,NA,0.824,8.739,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-22,2015-04-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.758,0.048,NA,0.828,10.663,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-22,2015-04-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.72,0.05,NA,0.803,8.223,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-22,2015-04-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,4.837,0.044,NA,0.815,8.608,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-22,2015-04-22T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.736,0.458,NA,0.868,11.385,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.338,NA,NA,0.743,7.08,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.542,NA,NA,0.757,7.538,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,5.482,NA,NA,0.781,7.006,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,NA,NA,NA,NA,NA,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.424,0.04,NA,0.815,8.489,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,1.5,gff,NA,NA,4.6,0.045,NA,0.846,6.161,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,5,gff,NA,NA,4.555,0.047,NA,0.829,6.535,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,20,gff,NA,NA,4.927,0.091,NA,0.846,6.719,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,40,gff,NA,NA,5.108,0.046,NA,0.858,7.25,NA,colorimetry/autoanalyser,"Raimbault, P."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,water,niskin,NA,NA,NA,NA,NA,NA,NA,60,gff,NA,NA,5.955,0.051,NA,0.898,8.252,NA,colorimetry/autoanalyser,"Raimbault, P."
