type,bottom_depth_m,date,station,depth_m,model_type,ps,alpha,beta,p0,pm,ek,im,ib,alpha_b,beta_b,pb_max,rss,r2,pi,method,sample_type,snow_thickness,sample_source,quality_control,mission
B,360,2015-04-18,108,5,model1,0.153270686,0.001453648,0,0.04386378,0.153270686,105.4386409,Inf,Inf,0.017429834,0,1.837778007,0.046964391,0.151459904,"Ferland, J.",14C P vs. E curve,water,NA,niskin,"warning, value ""Inf"" detected",ice_camp_2015
B,360,2015-04-22,112,1.5,model1,0.102346104,0.00183271,8.6e-5,-0.012408376,0.084509412,46.11171386,173.4232726,1190.603039,0.017128133,8.03e-4,0.789807589,2.72e-4,0.958545372,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-22,112,5,model1,9.997643625,0.001738258,0.09690305,-0.018466187,0.06538947,37.61781769,102.257177,103.1716098,0.023269852,1.29722958,0.875361042,7.59e-5,0.937025162,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-22,112,20,model1,0.071967654,0.002836839,3.91e-5,-0.027038925,0.066902751,23.58355559,109.0155723,1839.096149,0.035638681,4.92e-4,0.840486818,1.96e-4,0.907729254,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-24,114,1.5,model1,0.214694966,0.001776886,6.33e-4,0.008672084,0.098322723,55.33427361,161.528645,339.1705356,0.030530696,0.01087629,1.689393864,9.27e-5,0.990847898,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-24,114,5,model1,0.105222625,0.002463778,4.76e-5,-0.005057765,0.095617796,38.80941927,169.3875472,2211.550215,0.016602278,3.21e-4,0.644324768,0.001098535,0.876788468,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-24,114,20,model2,0.046370897,0.001666968,NA,-0.003780652,NA,NA,NA,NA,0.021181295,NA,NA,2.02e-5,0.98206477,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-28,118,1.5,model2,0.170459212,0.003262221,NA,-0.002848783,NA,NA,NA,NA,0.017586098,NA,NA,0.001732626,0.940578103,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-28,118,5,model2,0.120836892,0.004537825,NA,-0.020638355,NA,NA,NA,NA,0.022757397,NA,NA,3.62e-4,0.973306526,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-28,118,14,model1,0.108723711,0.003233615,1.02e-4,-0.0270964,0.094441703,29.20623124,117.3279599,1068.207402,0.026636037,8.38e-4,0.77793824600000006,9.39e-5,0.985768603,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-28,118,NA,model1,10,0.239506639,0.010556856,-2.417689241,8.330710305,34.78279498,132.1441188,947.2517333,0.011477221,5.06e-4,0.399209824,1.437811624,0.976164795,"Ferland, J.",14C P vs. E curve,ice,thin_snow,NA,NA,ice_camp_2015
B,360,2015-04-28,118,NA,model1,7.312471798,0.162519549,0.017348227,-1.160098571,5.147486919,31.67303221,105.2298613,421.5111942,0.008979758,9.59e-4,0.284416177,0.064760809,0.996678886,"Ferland, J.",14C P vs. E curve,ice,thick_snow,NA,NA,ice_camp_2015
B,360,2015-04-30,120,1.5,model2,0.063683447,0.001510791,NA,-0.00580885,NA,NA,NA,NA,2.07e-4,NA,NA,1.86e-4,0.951919892,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-30,120,5,model1,0.057961416,0.001382724,6.95e-5,-0.008916313,0.047363926,34.25406307,127.3855085,833.4314519,1.89e-4,9.51e-6,0.00648003,6.62e-5,0.973410516,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-30,120,20,model1,9.99932931,0.00325283,0.146529367,-0.013870806,0.080765879,24.82941616,67.49470648,68.24112827,4.45e-4,0.020047211,0.011049871,3.72e-5,0.987477712,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2015
B,360,2015-04-30,120,0,model2,0.12418494,0.003744128,NA,-0.03537094,NA,NA,NA,NA,5.12e-4,NA,NA,1.43e-4,0.988348397,"Ferland, J.",14C P vs. E curve,water,NA,underice,NA,ice_camp_2015
