parameter,species,irradiance_umol_photon_m2_s,value,value_units
PCmax,Chaetoceros_furcellatus,12.50,0.75168,d^-1
PCmax,Chaetoceros_furcellatus,25.00,0.4032,d^-1
PCmax,Chaetoceros_furcellatus,200.00,0.8568,d^-1
PCmax,Chaetoceros_furcellatus,400.00,0.1728,d^-1
PCmax,Chaetoceros_neogracile,10,0.994064416,d^-1
PCmax,Chaetoceros_neogracile,50,0.970892001,d^-1
PCmax,Chaetoceros_neogracile,80,0.985990703,d^-1
PCmax,Chaetoceros_neogracile,400,0.731345319,d^-1
PCmax,Thalassiosira_nordenskioeldii,13,0.96768,d^-1
PCmax,Thalassiosira_nordenskioeldii,25,1.092,d^-1
PCmax,Thalassiosira_nordenskioeldii,200,1.2792,d^-1
PCmax,Thalassiosira_nordenskioeldii,400,0.31008,d^-1
PCmax,Thalassiosira_gravida_1,15,0.825,d^-1
PCmax,Thalassiosira_gravida_1,42,0.754114713,d^-1
PCmax,Thalassiosira_gravida_1,84,0.442211055,d^-1
PCmax,Thalassiosira_gravida_1,136,0.304817518,d^-1
PCmax,Thalassiosira_gravida_2,10,1.105624484,d^-1
PCmax,Thalassiosira_gravida_2,50,0.424823743,d^-1
PCmax,Thalassiosira_gravida_2,80,0.357811976,d^-1
PCmax,Thalassiosira_gravida_2,400,0.300926621,d^-1
PCmax,Fragilariopsis_cylindrus,5,0.44,d^-1
PCmax,Fragilariopsis_cylindrus,25,0.24,d^-1
PCmax,Fragilariopsis_cylindrus,65,0.15,d^-1
PCmax,Fragilariopsis_cylindrus,125,0.14,d^-1
alphastar,Chaetoceros_furcellatus,12.50,0.027,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-1
alphastar,Chaetoceros_furcellatus,25.00,0.023,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-2
alphastar,Chaetoceros_furcellatus,200.00,0.029,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-3
alphastar,Chaetoceros_furcellatus,400.00,0.01,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-4
alphastar,Chaetoceros_neogracile,10,0.03471195,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-5
alphastar,Chaetoceros_neogracile,50,0.038144103,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-6
alphastar,Chaetoceros_neogracile,80,0.025372553,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-7
alphastar,Chaetoceros_neogracile,400,0.014659647,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-8
alphastar,Thalassiosira_nordenskioeldii,13,0.019,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-9
alphastar,Thalassiosira_nordenskioeldii,25,0.022,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-10
alphastar,Thalassiosira_nordenskioeldii,200,0.021,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-11
alphastar,Thalassiosira_nordenskioeldii,400,0.016,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-12
alphastar,Thalassiosira_gravida_1,15,0.027,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-13
alphastar,Thalassiosira_gravida_1,42,0.031,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-14
alphastar,Thalassiosira_gravida_1,84,0.023,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-15
alphastar,Thalassiosira_gravida_1,136,0.0106,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-16
alphastar,Thalassiosira_gravida_2,10,0.030070884,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-17
alphastar,Thalassiosira_gravida_2,50,0.018477465,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-18
alphastar,Thalassiosira_gravida_2,80,0.01958213,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-19
alphastar,Thalassiosira_gravida_2,400,0.008182636,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-20
alphastar,Fragilariopsis_cylindrus,5,0.04,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-21
alphastar,Fragilariopsis_cylindrus,25,0.04,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-22
alphastar,Fragilariopsis_cylindrus,65,0.03,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-23
alphastar,Fragilariopsis_cylindrus,125,0.01,g C (g Chl a)^-1 h^-1 (umol photons m^-2 s^-1)^-24
Ek,Chaetoceros_furcellatus,12.50,32.22222222,umol photons m^-2 s^-1
Ek,Chaetoceros_furcellatus,25.00,36.52173913,umol photons m^-2 s^-1
Ek,Chaetoceros_furcellatus,200.00,58.62068966,umol photons m^-2 s^-1
Ek,Chaetoceros_furcellatus,400.00,100,umol photons m^-2 s^-1
Ek,Chaetoceros_neogracile,10,22.21604953,umol photons m^-2 s^-1
Ek,Chaetoceros_neogracile,50,40.50279602,umol photons m^-2 s^-1
Ek,Chaetoceros_neogracile,80,49.55677494,umol photons m^-2 s^-1
Ek,Chaetoceros_neogracile,400,167.6689583,umol photons m^-2 s^-1
Ek,Thalassiosira_nordenskioeldii,13,33.68421053,umol photons m^-2 s^-1
Ek,Thalassiosira_nordenskioeldii,25,31.81818182,umol photons m^-2 s^-1
Ek,Thalassiosira_nordenskioeldii,200,61.9047619,umol photons m^-2 s^-1
Ek,Thalassiosira_nordenskioeldii,400,47.5,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_1,15,40.74074074,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_1,42,40.64516129,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_1,84,47.82608696,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_1,136,82.0754717,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_2,10,15.6270822,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_2,50,33.59027304,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_2,80,27.57258487,umol photons m^-2 s^-1
Ek,Thalassiosira_gravida_2,400,202.5919452,umol photons m^-2 s^-1
Ek,Fragilariopsis_cylindrus,5,10.95,umol photons m^-2 s^-1
Ek,Fragilariopsis_cylindrus,25,10.23,umol photons m^-2 s^-1
Ek,Fragilariopsis_cylindrus,65,17.42,umol photons m^-2 s^-1
Ek,Fragilariopsis_cylindrus,125,38.57,umol photons m^-2 s^-1
